ano_ingresso|unidade|sexo|nome_curso|area_curso|nivel_curso|setor_ocupacao|tipo_ocupacao|natureza|egressos|ocupados|migrantes|salario
2012|IFMA|M|CIÊNCIA DA COMPUTAÇÃO|CIÊNCIAS EXATAS E DA TERRA|SUPERIOR|Ignorado|Ignorado|Ignorado|2|0|0|
2012|IFPE|F|TÉCNICO EM MECATRÔNICA INTEGRADO AO ENSINO MÉDIO|CONTROLE E PROCESSOS INDUSTRIAIS|TÉCNICO|Ignorado|Ignorado|Ignorado|2|0|0|
2012|IFPE|M|TÉCNICO EM MECATRÔNICA INTEGRADO AO ENSINO MÉDIO|CONTROLE E PROCESSOS INDUSTRIAIS|TÉCNICO|Ignorado|Ignorado|Ignorado|5|0|0|
2012|IFPE|M|TÉCNICO EM MECATRÔNICA INTEGRADO AO ENSINO MÉDIO|CONTROLE E PROCESSOS INDUSTRIAIS|TÉCNICO|Indústria|Instaladores e reparadores de linhas e cabos elétricos, telefônicos e de comunicação de dados|Privado|1|1|0|2122.72
2012|IFSC|F|CURSO DE BACHARELADO EM ENGENHARIA DE TELECOMUNICAÇÕES|ENGENHARIAS|SUPERIOR|Ignorado|Ignorado|Ignorado|2|0|0|
2012|IFSC|F|CURSO DE BACHARELADO EM ENGENHARIA DE TELECOMUNICAÇÕES|ENGENHARIAS|SUPERIOR|Indústria|Técnicos de desenvolvimento de sistemas e aplicações|Privado|1|1|0|5554.63
2012|IFSC|F|CURSO DE BACHARELADO EM ENGENHARIA DE TELECOMUNICAÇÕES|ENGENHARIAS|SUPERIOR|Serviços|Técnicos de desenvolvimento de sistemas e aplicações|Privado|2|2|0|3997.415
2012|IFSC|M|CURSO DE BACHARELADO EM ENGENHARIA DE TELECOMUNICAÇÕES|ENGENHARIAS|SUPERIOR|Comércio|Analistas de tecnologia da informação|Privado|1|1|1|7994.25
2012|IFSC|M|CURSO DE BACHARELADO EM ENGENHARIA DE TELECOMUNICAÇÕES|ENGENHARIAS|SUPERIOR|Ignorado|Ignorado|Ignorado|4|0|0|
2012|IFSC|M|CURSO DE BACHARELADO EM ENGENHARIA DE TELECOMUNICAÇÕES|ENGENHARIAS|SUPERIOR|Indústria|Analistas de tecnologia da informação|Privado|1|1|0|4196.46
2012|IFSC|M|CURSO DE BACHARELADO EM ENGENHARIA DE TELECOMUNICAÇÕES|ENGENHARIAS|SUPERIOR|Indústria|Técnicos de apoio em pesquisa e desenvolvimento|Privado|1|1|0|6186.31
2012|IFSC|M|CURSO DE BACHARELADO EM ENGENHARIA DE TELECOMUNICAÇÕES|ENGENHARIAS|SUPERIOR|Indústria|Técnicos de desenvolvimento de sistemas e aplicações|Privado|1|1|0|4795.64
2012|IFSC|M|CURSO DE BACHARELADO EM ENGENHARIA DE TELECOMUNICAÇÕES|ENGENHARIAS|SUPERIOR|Indústria|Técnicos em eletrônica|Público|1|1|0|4352.43
2012|IFSC|M|CURSO DE BACHARELADO EM ENGENHARIA DE TELECOMUNICAÇÕES|ENGENHARIAS|SUPERIOR|Serviços|Analistas de tecnologia da informação|Privado|2|2|0|13280.405
2012|IFSC|M|CURSO DE BACHARELADO EM ENGENHARIA DE TELECOMUNICAÇÕES|ENGENHARIAS|SUPERIOR|Serviços|Artistas visuais,desenhistas industriais e conservadores-restauradores de bens culturais|Privado|1|1|0|7054.67
2012|IFSC|M|CURSO DE BACHARELADO EM ENGENHARIA DE TELECOMUNICAÇÕES|ENGENHARIAS|SUPERIOR|Serviços|Técnicos de desenvolvimento de sistemas e aplicações|Privado|2|2|0|9300.145
2012|IFSC|M|CURSO DE BACHARELADO EM ENGENHARIA DE TELECOMUNICAÇÕES|ENGENHARIAS|SUPERIOR|Serviços|Técnicos de desenvolvimento de sistemas e aplicações|Público|1|1|0|4150.29
2013|IFMA|F|CIÊNCIA DA COMPUTAÇÃO|CIÊNCIAS EXATAS E DA TERRA|SUPERIOR|Serviços|Artistas da dança (exceto dança tradicional e popular)|Privado|1|1|0|1356.66
2013|IFMA|M|CIÊNCIA DA COMPUTAÇÃO|CIÊNCIAS EXATAS E DA TERRA|SUPERIOR|Ignorado|Ignorado|Ignorado|3|0|0|
2013|IFMA|M|CIÊNCIA DA COMPUTAÇÃO|CIÊNCIAS EXATAS E DA TERRA|SUPERIOR|Serviços|Agentes, assistentes e auxiliares administrativos|Público|1|1|1|5404.84
2013|IFMA|M|CIÊNCIA DA COMPUTAÇÃO|CIÊNCIAS EXATAS E DA TERRA|SUPERIOR|Serviços|Gerentes de tecnologia da informação|Privado|1|1|0|12084.09
2013|IFMA|M|CIÊNCIA DA COMPUTAÇÃO|CIÊNCIAS EXATAS E DA TERRA|SUPERIOR|Serviços|Técnicos de desenvolvimento de sistemas e aplicações|Público|1|1|0|3650.82
2013|IFMA|M|ENGENHARIA ELÉTRICA|ENGENHARIA|SUPERIOR|Ignorado|Ignorado|Ignorado|6|0|0|
2013|IFPE|M|TÉCNICO EM MECATRÔNICA INTEGRADO AO ENSINO MÉDIO|CONTROLE E PROCESSOS INDUSTRIAIS|TÉCNICO|Comércio|Agentes, assistentes e auxiliares administrativos|Privado|1|1|0|522.5
2013|IFPE|M|TÉCNICO EM MECATRÔNICA INTEGRADO AO ENSINO MÉDIO|CONTROLE E PROCESSOS INDUSTRIAIS|TÉCNICO|Ignorado|Ignorado|Ignorado|5|0|0|
2013|IFPE|M|TÉCNICO EM MECATRÔNICA INTEGRADO AO ENSINO MÉDIO|CONTROLE E PROCESSOS INDUSTRIAIS|TÉCNICO|Serviços|Auxiliares de contabilidade|Privado|1|1|0|719.82
2013|IFPE|M|TÉCNICO EM MECATRÔNICA INTEGRADO AO ENSINO MÉDIO|CONTROLE E PROCESSOS INDUSTRIAIS|TÉCNICO|Serviços|Técnicos de operação de registros sonoro/audiovisuais|Privado|1|1|0|1331.43
2013|IFSC|F|CURSO DE BACHARELADO EM ENGENHARIA DE TELECOMUNICAÇÕES|ENGENHARIAS|SUPERIOR|Indústria|Técnicos em eletrônica|Privado|1|1|0|2372.73
2013|IFSC|F|CURSO DE BACHARELADO EM ENGENHARIA DE TELECOMUNICAÇÕES|ENGENHARIAS|SUPERIOR|Serviços|Técnicos de desenvolvimento de sistemas e aplicações|Privado|3|3|0|3766.226666666667
2013|IFSC|M|CURSO DE BACHARELADO EM ENGENHARIA DE TELECOMUNICAÇÕES|ENGENHARIAS|SUPERIOR|Ignorado|Ignorado|Ignorado|3|0|0|
2013|IFSC|M|CURSO DE BACHARELADO EM ENGENHARIA DE TELECOMUNICAÇÕES|ENGENHARIAS|SUPERIOR|Serviços|Engenheiros em computação|Privado|1|1|0|14742.67
2013|IFSC|M|CURSO DE BACHARELADO EM ENGENHARIA DE TELECOMUNICAÇÕES|ENGENHARIAS|SUPERIOR|Serviços|Técnicos de desenvolvimento de sistemas e aplicações|Privado|6|6|0|5402.023333333334
